epxWave,epyWave
-6.79918,12.076
-7.21671,12.0526
-6.95379,11.9783
-7.05381,12.1689
-6.82138,11.9916
-6.79585,12.1128
-6.99691,12.3366
-7.07198,12.3969
-7.17603,12.5859
-7.21007,12.3905
-7.2593,12.3017
-7.27738,12.1762
-7.53821,12.2436
-6.87411,12.4544
-7.19874,12.525
-7.25785,12.5853
-7.36237,12.5607
-7.17475,12.5012
-7.48837,12.5082
-7.48399,12.6534
-7.47728,12.5493
-7.97009,12.1596
-7.18579,12.2476
-7.46685,12.4554
-7.62971,12.5142
-7.68956,12.4042
-7.63687,12.392
-7.80493,12.4751
-7.94039,12.4925
-8.37998,12.4108
-7.84733,12.5562
-8.84201,12.1865
-8.50658,12.1169
-8.72713,11.9159
-8.62721,12.2291
-8.89243,12.3077
-8.96405,12.0106
-9.04864,12.3777
-8.69633,12.3782
-8.84271,12.2034
-9.07844,12.6553
-9.04408,12.1292
-9.04034,12.1193
-9.13763,11.7611
-9.41516,11.9073
-8.87411,11.9084
-9.04816,11.695
-9.26216,12.3802
-9.3091,12.4849
-9.4745,12.286
-8.97751,12.4197
-9.55457,12.479
-9.82026,12.2623
-9.44137,12.3795
-9.25856,12.12
-9.25237,12.154
-9.57553,12.1511
-9.81629,12.4091
-9.52656,12.3104
-9.18614,12.274
-9.4182,12.3504
-9.89543,12.4594
-9.5262,12.333
-9.517,12.5199
-9.7585,12.2993
-10.1286,12.718
-10.1144,12.9719
-10.2425,12.3276
-10.2683,12.7515
-10.2379,12.9169
-10.2865,13.0546
-10.4055,12.8794
-10.5392,12.4941
-10.3718,12.757
-10.8951,12.2214
-10.9959,12.615
-11.1724,12.3088
-10.7217,12.8803
-10.9242,12.3758
-10.6232,12.1943
-10.7715,12.4036
-10.8541,12.0867
-10.8834,12.0924
-11.3487,11.7104
-10.9076,12.0604
-11.1131,12.3221
-11.2588,11.9291
-11.1634,12.3733
-11.1245,12.1668
-10.9961,12.2364
-11.0739,12.2683
-10.8094,12.6339
-10.8434,12.3258
-10.5925,12.3962
-10.898,12.5526
-10.7395,12.6423
-10.8358,12.4205
-11.07,12.8039
-10.7121,12.5104
-11.1319,12.6254
-10.9554,12.4675
-10.9705,12.3263
-11.0421,12.3738
-10.9375,12.6205
-11.3424,12.4226
-11.1116,12.9509
-11.6021,12.5941
-11.6224,12.8331
-11.2983,12.5576
-11.8167,12.2676
-11.618,12.2198
-11.4148,12.5455
-11.9314,12.4453
-11.8534,12.8371
-12.1658,12.5651
-11.7205,12.7671
-11.6595,12.9287
-11.7463,12.8341
-12.1456,12.6483
-11.8562,12.8357
-12.1659,12.7112
-12.4154,12.6712
-12.2833,12.6761
-12.4627,12.7533
-12.4037,12.3664
-12.8573,12.8046
-12.528,12.1283
-12.2458,12.5157
-12.2442,12.7311
-12.2512,12.3261
-12.377,12.662
-11.8022,12.4938
-12.2602,13.0085
-12.5182,12.749
-12.1563,12.5167
-12.2113,12.7794
-11.9922,12.8509
-12.313,12.8845
-12.099,12.5025
-11.9856,12.7405
-12.1115,12.7059
-12.3006,13.0314
-12.3217,12.9625
-12.0017,12.5118
-12.1578,12.7454
-12.1268,12.5701
-12.3702,12.1827
-12.611,12.7359
-12.9493,13.057
-12.506,13.0002
-12.8973,12.401
-12.5875,12.5467
-12.5752,12.07
-13.2967,12.144
-12.8135,12.0007
-12.4015,12.5613
-13.0636,12.1859
-12.6366,12.4941
-12.5841,12.439
-12.8274,11.9621
-13.4417,12.6711
-13.2768,12.3577
-13.079,12.1833
-13.2902,12.1055
-12.8591,12.3469
-13.3943,12.1109
-13.1558,12.0928
-13.3804,12.6516
-12.9824,12.406
-13.8694,12.5727
-13.5692,12.4129
-13.6644,12.6596
-14.1122,12.7139
-13.9888,12.8738
-14.3277,12.8923
-13.9628,12.7279
-13.9094,12.6558
-14.4336,12.7576
-14.4596,12.6278
-14.1567,12.438
-14.1574,12.736
-14.1623,12.5396
-13.9537,13.1353
-14.1025,12.6662
-14.1561,13.0612
-14.3286,13.5361
-14.3862,12.6499
-14.1935,12.8565
-14.064,13.0614
-14.3853,12.9695
-14.3627,12.7973
-14.3307,12.6368
-14.1147,12.6254
-14.0812,12.8052
-14.4121,12.7731
-14.1574,12.6562
-14.2162,12.8805
-14.2133,12.9706
-14.1853,12.9734
-14.1023,12.7354
-14.2862,13.1753
-14.3604,12.9863
-14.4942,13.0449
-14.8667,12.5602
-14.1771,13.2315
-14.0488,12.9399
-14.687,13.2842
-14.7433,13.4078
-15.2417,13.3922
-15.0677,13.4306
-15.3668,12.922
-14.8954,13.0748
-14.8783,13.5186
-15.2246,13.2531
-15.5834,13.0007
-14.9798,12.9878
-15.3127,12.9521
-14.9423,12.8931
-15.215,13.0241
-15.2944,13.3329
-14.9885,13.0827
-15.5472,12.9044
-15.3845,13.0022
-15.5191,13.0485
-15.156,12.8866
-15.7298,13.1749
-15.442,13.3404
-15.7906,13.1007
-15.4926,13.0358
-15.0569,12.7101
-15.0674,12.6757
-15.1563,12.654
-15.6636,13.193
-15.3618,12.8035
-15.3278,12.9198
-15.6346,12.9776
-15.3904,12.9846
-15.9699,12.9643
-15.5046,12.8797
-15.6558,13.1115
-15.5211,13.081
-15.6215,13.0204
-15.5885,13.0136
-16.2277,13.0715
-15.7254,13.1106
-15.96,13.1356
-16.2138,13.6952
-16.2682,13.2705
-16.3901,12.8368
-16.254,13.3074
-16.717,13.21
-16.3583,13.3044
-16.2236,12.7728
-16.4318,12.9306
-16.461,13.1258
-16.2677,13.4443
-16.2952,13.0544
-16.3732,13.033
-16.7562,13.1743
-16.745,13.3013
-16.8686,12.861
-17.321,13.2152
-17.2028,13.2145
-16.7424,13.2217
-16.8631,13.3846
-17.0721,13.3286
-17.1877,13.4618
-17.3977,13.3406
-17.1764,13.1478
-17.2512,13.5516
-17.4746,13.2551
-17.3235,13.3099
-16.6943,13.3003
-16.9891,13.2788
-17.1397,13.2827
-17.2624,13.3226
-17.5552,13.3883
-17.2566,13.1022
-16.9565,13.402
-17.1339,13.5197
-17.2933,13.2741
-17.2638,13.7364
-16.8275,13.6273
-16.9916,13.5465
-17.3187,13.2805
-17.1784,13.5492
-17.1185,13.3312
-17.0883,13.6358
-17.2934,13.3472
-17.1919,13.4553
-17.8841,13.2318
-17.7223,13.3987
-17.3179,13.408
-17.8156,13.0825
-17.4405,13.5824
-17.5052,13.4103
-17.8083,13.053
-17.9402,12.7065
-17.6661,12.8918
-17.8681,12.9608
-17.751,13.4268
-17.6431,13.3677
-17.7247,13.5306
-17.803,13.4118
-17.7051,12.7412
-17.6864,12.9849
-17.7136,13.0765
-17.7595,13.3253
-17.6487,13.5407
-17.9119,13.0499
-17.9143,13.4711
-18.0172,13.52
-17.8272,13.3154
-17.8075,13.466
-18.1837,13.3724
-17.9133,13.7595
-18.1273,13.2132
-18.1872,12.9572
-18.5911,13.3574
-18.4545,13.1582
-18.6262,13.0831
-18.8927,13.0106
-18.589,12.7709
-18.4018,13.5597
-19.0093,13.6035
-18.7646,13.2142
-19.2554,13.2159
-18.7858,13.2384
-18.8369,13.2083
-18.9144,13.5144
-19.0498,13.3216
-18.8142,13.4718
-19.0627,13.176
-19.1395,12.6862
-18.6166,13.2086
-18.8701,13.4768
-19.0703,13.3983
-18.758,13.5324
-18.3562,13.7429
-18.887,13.6658
-18.5022,13.5843
-18.5373,13.6326
-18.7626,13.6169
-18.6377,13.4705
-18.8491,13.4392
-19.3425,13.9075
-19.0299,13.5144
-18.5583,13.5545
-19.0914,13.6786
-19.6109,13.4391
-19.1672,13.733
-19.3073,13.2287
-19.297,13.6421
-19.3945,13.6153
-19.2888,13.7525
-19.9383,13.5322
-19.9855,13.6522
-19.1856,13.9541
-19.6258,13.4962
-19.9111,13.5331
-19.8984,13.4229
-19.8409,13.5513
-19.5551,13.1089
-19.7656,13.1745
-20.0177,13.5754
-20.1928,13.5409
-20.3105,13.4848
-20.536,12.45
